PID,ISB,Strecke_Nummer,Strecke_Bezeichnung,Strecke_Art,BP_Von_Abschnitt,BP_Von_Abschnitt_Bezeichnung,BP_Bis_Abschnitt,BP_Bis_Abschnitt_Bezeichnung,Anzahl_Zuege,gdname,gd_ident,didok,KOORDZ,KOORDY,KOORDX,Reiner Betriebspunkt,TU Nummer,Bedienpunkt Cargo,land,Haltestelle,Gde Nummer,gdnr,TU Abkuerzung,Tarifhaltestelle,geopos_von,geopos_bis
SBB_LN_TSCH,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,LN,Langnau,TSCH,Trubschachen,27323,Langnau im Emmental,Ident,8207,673.6,626311.28,198741.11,None,11,*,Switzerland,*,902,902,SBB CFF FFS,None,"7.78418619268, 46.9392396463","7.84612559814, 46.9216897493"
SBB_SIGN_SCUB,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,SIGN,Signau,SCUB,Schüpbach (Signau),41034,Signau,Ident,8205,683.8,621846.72,196543.1,None,11,*,Switzerland,*,907,907,SBB CFF FFS,None,"7.72544725963, 46.919629722","7.7346467759, 46.9323397205"
SBB_TI_KF,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,TI,Tägertschi,KF,Konolfingen,41242,Münsingen,Ident,8201,644.6,610839.37,192360.95,None,11,*,Switzerland,*,616,616,SBB CFF FFS,None,"7.58083927257, 46.8822800747","7.62135900071, 46.8806903112"
SBB_WIG_ESCH,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,WIG,Wiggen,ESCH,Escholzmatt,27294,Escholzmatt-Marbach,Ident,8209,781.9,635260.02,194409.19,None,11,*,Switzerland,None,1010,1010,SBB CFF FFS,None,"7.90137491503, 46.8998596178","7.93635394993, 46.9153395344"
SBB_IT_SIS,SBB,27,Mutenz - HBT - Olten Nord,STRECKE,IT,Itingen,SIS,Sissach,115309,Itingen,Ident,25,358.4,626280.71,257444.91,None,11,None,Switzerland,*,2849,2849,SBB CFF FFS,None,"7.78720299642, 47.4672562091","7.81202303456, 47.4627364644"
SBB_PR_FRE,SBB,27,Mutenz - HBT - Olten Nord,STRECKE,PR,Pratteln,FRE,Frenkendorf-Füllinsdorf,32186,Pratteln,Ident,21,289.7,618993.01,263576.71,None,11,*,Switzerland,*,2831,2831,SBB CFF FFS,None,"7.6908025588, 47.5226549995","7.71909301824, 47.5014552447"
SBB_TRI_OLN,SBB,28,Sissach - AHT - Olten Nord,STRECKE,TRI,Trimbach,OLN,Olten Nord (Abzw),14994,Trimbach,Ident,37,423.3,635173.69,246237,None,11,None,Switzerland,*,2500,2500,SBB CFF FFS,None,"7.90427325511, 47.3660376563","7.9180430404, 47.3649577269"
SBB_BUHA_HNS,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,BUHA,Buchhalde (Spw),HNS,Hornussen,30672,Hornussen,Ident,15166,402.3,645863.47,261196.86,None,11,*,Switzerland,None,4167,4167,SBB CFF FFS,None,"8.04732029904, 47.4999273774","8.05986005711, 47.4973274337"
SBB_FCK_BUHA,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,FCK,Frick,BUHA,Buchhalde (Spw),30672,Frick,Ident,305,360.5,643276.9,262001.25,None,11,*,Switzerland,*,4163,4163,SBB CFF FFS,None,"8.01307085248, 47.5073370081","8.04732029904, 47.4999273774"
SBB_KAU_RFAU,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,KAU,Kaiseraugst,RFAU,Rheinfelden Augarten,61296,Kaiseraugst,Ident,300,274.2,621496.09,265345.38,None,11,*,Switzerland,*,4252,4252,SBB CFF FFS,None,"7.72412218119, 47.5384850543","7.76802198607, 47.5458552268"
